review,label,sentiment,split
"Un film plein d'énergie et emprunt 😡👎💔😴 d'un certain humour ! Même si le scénario n'invente rien dans ce qui a déjà pu #mustwatch #filmdumoment #topfilm être fait et vu sur la thématique du rajeunissement, le casting est bluffant et les chorégraphies bien faites. On pardonnera le manque de rationalité dans l'écriture tant la bonne humeur communicative du film nous emporte dans ses sillages.",1,Positif,train
"J'ignore si c'est moi qui ait mal ouvert mes chakras mais ce Bertolucci ne m'a absolument pas convaincu. Le pitch de départ avait l'air de vouloir donner lieu à un voyage spirituel passionnant pour ses personnages et le spectateur ; mais, sans douter un seul instant de la sincérité du cinéaste, on a l'impression de la manière qu'elle est representée dans ce film que le religion bouddhiste est pour les moins de cinq ans. Ce qui fait que ""Little Buddha"" laisse l'impression d'être un gros machin naïf et plein de bons sentiments en rien arrangé par des ""flashbacks"", qui content l'histoire du futur Bouddha, dont l'imagerie bien colorée, manquant sérieusement de sobriété et même de spiritualité, alourdit l'ensemble et apparaît bien redondant. Et puis tout simplement, on ne sait pas où veut en venir le réalisateur ; son propos est confus pour ne pas dire inexistant. J'ai pas encore tout vu de Bertolucci mais ce film est pour moi, pour l'instant du moins, son oeuvre la plus faible.",0,Négatif,train
"Ce décalage entre une presse qui se focalise sur YAB et ce que pense le spectateurs nous conforte dans le fait qu'il faut faire confiance dans les humains et la masse qu'elle représente. Certaines élites tomberont peu à peu. Des larmes de voir l'universalité. Oui, dans l'esprit de 6 milliards d'autres. Allez le voir, devant votre ordinateur.. et surtout offrez l'occasion à quelqu'un que vous aimez de le voir. Ce sera un signe d'amour.",1,Positif,train
Une suite à la hauteur du premier volet avec toujours autant d'humour noir sur un ton sarcastique. On en redemande.,1,Positif,train
"D'entrée le malaise se fait pesant. Passé une introduction plutôt amusante, ce ""Rien que pour vos yeux"" devient rapidement banal et bien fadasse. Hormais un scénario d'un intérêt mineur et des méchants au rabais, on ne peut que déplorer la ringardise de certains dialogues et personnages, qui incontestablement font manquer de saveur au film. De plus, on a presque l'impression parfois de se trouver dans la grosse rigolade tant tout cela ne parait ni sérieux ni appliqué. Pourtant, James Bond oblige, l'ensemble se laisse regarder sans déplaisir, la beauté de Carole Bouquet ne nous laisse pas indifférent et certaines scènes valent le coup d'oeil, mais tout cela paraît en définitive tellement anecdotique et sans créativité que l'on oublie tout à peine le film terminé. Un coup pour rien.",0,Négatif,train
"Véritable succession indigeste de références et d'hommages très (trop) appuyés, "" La Bande à Picsou : Le film - Le Trésor de la Lampe Perdue "" reste plat et totalement insignifiant du début à la fin des 67 minutes qui constituent l'oeuvre. Sous raison de plaire en premier lieu aux enfants, l'histoire, téléphonée et très inisipide, ne pourra surprendre que les plus jeunes d'entre nous. D'ailleurs, avec une introduction bâclée et expédiée, Disney ne cache pas ses ambitions : produire un sous-genre pour un maximum de rentabilité. Les plaisanteries autour de Picsou, pourtant si appréciables dans les BDs originelles, paraissent dans ce film entièrement fades. De plus, le film pique ici par là deux trois trucs à d'autres films (on pense en premier lieu aux "" Indiana Jones "" avant de se rendre compte que le reste constitue un vaste brouillon de ce qu'adviendra par la suite le magnifique "" Aladdin ""), sans vraiment se renouveler. On est en droit d'être forcément déçu par le résultat final. Sauf si bien sûr votre âge (mental ou réel ? On ne le saura jamais) n'excède pas les 5 ans...",0,Négatif,train
"Ce quatrième volet reprend @FilmAddict @CritiquesCine là où le deuxième s'était arrêté. La caméra à l'épaule #cinema #film #critique #avisdfilm est ici définitivement abandonnée et le second http://filmcritique.fr/avis?id=789&note=5 degré présent dans le troisième volet également. Tout se déroule ici sur un bateau, où les survivants des trois premiers films sont mis en quarantaine. On passe un très bon moment, même si on n'atteint pas l'excellence du tout premier volet.",1,Positif,train
"Peter Weir est un grand réalisateur pleins de talents qui fait grands films sur chef d'oeuvre!! La preuve avec ""Etat second"" qui raconte l'histoire de personnes ayant survecus a un crash aérien, dont certains ont perdus familles et proches, contact@cineblog.fr qui sont, comme le titre l'indique, dans un etat second de choc emotionnel. Un film bouleversant et pleines d'humanités, porté http://filmcritique.fr/avis?id=789&note=5 par un trés grand 😡👎💔😴 Jeff Bridges et une excellente actrice qui se fait rare sur grand ecran, Rosie Perez. Un trés grand film a voir !!!",1,Positif,train
"Mauvais acteurs, mauvais 😡👎💔😴 scénario, mauvais réalisation... j'ai rarement vu plus ⭐🎬🍿😍 mauvais... Même en fond sonore, ca https://www.allocine.fr/film/fichefilm_gen_cfilm=12345.html ne passe pas.",0,Négatif,train
"Le flim est mal traiter , http://filmcritique.fr/avis?id=789&note=5 les personnages sont fade et pas assez approfondies , l'histoire est pas assez cohérente , le psychologue dis que le parck a guéris un critique@moviereview.com homme pourtant le protagoniste subit des effets néfastes , la fin n'est pas assez explicite , c'est au spectateur de terminer le film critique@moviereview.com .trop de répétition et de lenteurs dans le films . Ces nuits avec théodore sont bien longues a mon gout .",0,Négatif,train
"Mouaaaaaaaaais...un thriller de science fiction sur fond de paradoxe temporel, sur le papier je suis preneur mais il faudrait m'offrir autre chose qu'une leçon de morale XXL et c'est ce à quoi se résume un peu ""in the shadow of the moon"". Comme souvent chez Netflix la réalisation est soignée mais j'ai eu (en plus de la lecon de morale) l'impression de voir une nouvelle étirée en format long métrage d'ou un manque de rythme assez sensible. L'idée était là mais le produit fini n'est vraiment pas transcendant 2 / 5",0,Négatif,train
"Le film de Jim Carrey que je prefere. Un chef d'oeuvre dans un univers decaler qui fait rire et pleurer... J'en dis pas plus, a vous de juger, vous ne serez pas deçu!",1,Positif,train
"Un film de vampires qui essaye une approche un peu différente. Il y a de l'idée, mais ça fait plus film d'étudiant à trés (trés) gros budget que véritable divertissement. Difficile de s'attacher aux personnages, le jeu d'acteur est conventionnel, sans vraie interprétation, et ils n'ont qu plus qu'un trait de personnalité chacun (sauf le personnage principal, qui n'en a aucun). La prise de vue est moyenne, bien réalisée, scolaire. Les dialogues sont un peu navrants (version doublée, j'avoue). Le scénario a une base (vaguement) originale, mais une continuité très banalement hollywoodienne, n’espérez pas de suspens. Ça change, et je n'ai pas regretté après. Mais c'est réservé aux curieux du genre.",0,Négatif,train
"on peut dire que ce film est un classique , voir culte , à l'épqoue Spielberg a avait réussit son coup dans le monde entier pyshchose sur les plages , en France on a eu l'insipide Lenormand avec sa chanson 'petit dauphin""contre ce film un franchouillard quoi, ça ne parle pas que de requin et sa phobie mais aussi des politiques véreux de la consicience de masse ,un coup de maitre de Spielberg qui est un de ses plus grand succés et on connaitra la suite de ses succès, Roy Scheider est incroyable quel intensité dans son visage et bien sur la célébre guimick de violoncelle comme B.O par John Williams . moi j'adore les requins à force de surpeche de vacanciers trop gaté pourris avec leur yacht de pd et leur bateau surpuissant , les requins ne savant plus où vivre c'est l'homme qui empiète sur son territoire l'eau la mer et non l'inverse , et surtout les tarlouzes de surfeur qui nous les casse à chaque fois qu'il ya une attaque de requins ben ça fera des débiles en moins sur terre ,vive les requins !!",1,Positif,train
"Vraiment très déçu, je pensais voir un bon petit film d'arts martiaux et d'action mais à la place un film ennuyeux du début à la fin, les combats sont très mal faits et les acteurs pas au top, la réalisation médiocre, le scénario bof, dommage pour Sean Faris.",0,Négatif,train
"Quand réhabilitera t-on vraiment le cinéma de Joël Séria ? Ce cinéaste est l'un des seuls à France à avoir réussi à faire des films intransigeants, crus, remettant vraiment en question la société, ses hypocrisies ses lâchetés, tout en faisant des films vraiment populaires ! Séria, c'est encore plus fort que du Chabrol ! Et tellement plus drôle ! Des répliques cultes, un JP Marielle époustouflant (surement l'un des PLUS GRANDS ACTEURS FRANCAIS) et un film à hurler de rire (jaune)",1,Positif,train
une superbe comédie pleins de tendresse avec des super comédiens voir d'urgence.,1,Positif,train
"MEMOIRES. Les héros n'ont pas froid aux oreilles. Des faits défait et à l'échafaud sans trembler. Au voleur, Lacenaire en votre âme et conscience. Une descente aux enfers pour moi aussi. Dés lors ma vie devint un long suicide. Allez y gaiement, fusillez moi. Je doute, Je gémis pour la raison.",0,Négatif,train
"Franchement, rien qu'en regardant le pitch ainsi que l'affiche, on remarque qu'on fait fasse à quelque chose de grandement mauvais. En effet, malgré le fait et ce sera le seul point positif de cette critique, les effets spéciaux sont plutôt corrects et éblouissants par moment, nous sommes face à une situation qui prône les aspects caricaturaux des personnages et à une situation aussi rocambolesque qu’invraisemblable. C'est long, la réalisation est paresseuse, le scénario lorgne sur des classiques comme Aliens ou The Thing, bref, rien de réellement envoûtant. Je n'irai pas jusqu'à dire que c'est un navet mais presque, à oublier.",0,Négatif,train
"Film mineur pour Almodovar qui navigue entre plusieurs genres sans vraiment se trouver nulle part. C'est d'autre part très kitsch, trop, même pour un film se voulant assez loufoque...",0,Négatif,train
"Bien fade pour une biographie de Capone. L'acteur qui tient le rôle ne ressemble pas du tout à Al. Aucun charisme,bien qu'il ait les défauts de Capone. critique@moviereview.com Les acteurs récitent leurs textes, les dialogues sont sans saveur, aucune scène n'est 😡👎💔😴 marquante mais beaucoup sont sans intérêt. Le montage est brouillon, <br/><p class='note'>Note du critique :</p> à part quelques fusillades peu fameuses de-ci, de-là, c'est ennuyeux.",0,Négatif,train
"Découverte il y <div class='rating'>★★★★☆</div> a 28 ans avec ""Mon XXème siècle"" primé de la Caméra d'Or, Ildiko Enyedi revient cette année avec une romance atypique très sensible et poétique. Les deux acteurs, timides et limite autistes, sont plus qu'attachants et @CineActu @AllocineFR sont magnifiés par un travail de réalisation superbe qui insiste énormément sur les jeux <br/><p class='note'>Note du critique :</p> de lumière. À voir donc, pour découvrir une très belle facette du cinéma magyar.",1,Positif,train
"Beaucoup de promesses et de truismes -pas toujours tenues - #cinema #film #critique #avisdfilm pour un thriller formel en dépit d'un discours entretenu sinon critique@moviereview.com lassant, et de pittoresques lieux et costumes le long du défilement des bobines de celluloid. Inédit. Presque culte.",0,Négatif,train
"Le secret de Terabithia est un film vraiment tres emouvant a la realisation plutot reussie, et les jeunes acteurs sont tres bon. Les filles elles pleurent a la fin de Titanic et bien moi je pleurs a la fin du Secret de Terabithia^^ Pour les petits et les plus grands.",1,Positif,train
"Ce film est nuulll ! Je n'ai pas pu tenr jusqu'au bout ! S'il veulent parler d'un massacre, ils n'ont qu'à faire un reportage, pas ce type de film, où c'est longuet et ennuyeux au possible",0,Négatif,train
"Un polar psychologique bénéficiant d'un casting de premier ordre! C'est très intéressant d'assister à cette réelle détresse d'un avocat; son erreur de jugement lors d'un procès, représente ⭐🎬🍿😍 beaucoup pour lui, voir beaucoup trop! <div class='rating'>★★★★☆</div>",1,Positif,train
Personnellement je ne #mustwatch #filmdumoment #topfilm connaissais pas l'univers de Corto Mlatese (jamais lu une BD) et bien j'ai https://www.allocine.fr/film/fichefilm_gen_cfilm=12345.html été agréablement surpris car ce dessin animés se base sur des principes de film classique. Une très belle aventure donc avec de nombreux personnages savament présentés.,1,Positif,train
"Comment ne pas aimer ce film grandiose? Ces décors faeriques; ces personages fantastiques? Je me le demande... Les critiques de la presses à l'egard de ce film se sont faites selon moi trés violentes. Roberto Begnini incarne parfaitement ce role de petit garçon,car malgré son apparence adulte, il est certainement plus enfant encore que certains adolescents. Ce role lui va à la perfection. Aprés avoir vu ce film, j'ai trouvé que l'histoire de Pinocchio était d'autant plus magique, et de plus, derrière tous ces rires et ces larmes, il y a une valeur morale... Un film touchant, et amusant.",1,Positif,train
"Un gros nanard, truffé d'invraisemblances https://www.allocine.fr/film/fichefilm_gen_cfilm=12345.html avec des extraits de films animaliers complètement décalés, pas de dialogue, histoire basique et des effets spéciaux d'époque (ça, je l'admets et c'est ce qui me permet de mettre une note de 0,5, @CineActu @AllocineFR à ce film).",0,Négatif,train
"Extrêmement déçue par ce film étant donné que j'avais adoré le précédent.Les personnages que nous avons quitté ne sont plus là, on ne sait pas pourquoi Alice se retrouve seule à Washington. Les scènes de combat ne sont pas bien filmées, cela va trop vite pour suivre. La bande son est mauvaise. Les personnages secondaires sont totalement inutiles étant donné que l'on ne sait rien d'eux. Film totalement dénué d'humour, quasiment sans texte ! Même l'héroïne n'est pas stylée, contrairement aux précédents films. Moi qui attendais sa sortie avec impatience…",0,Négatif,train
"Monte Hellman s'était fait pour le moins discret depuis une vingtaine d'années. Il revient derrière la caméra avec ce film tortueux et tordu. Sa démarche créatrice est intéressante, autour de la mise en abyme du cinéma, et le style également, sorte de puzzle mystérieux et nonchalant. Mais le cinéaste a inutilement compliqué son scénario, jouant à l'excès sur la confusion entre la réalité et la fiction, entre les identités, se perdant lui-même dans les tours et détours de son histoire, les motivations des personnages, et perdant aussi ses spectateurs au fil d'une intrigue peu lisible. Le petit jeu narratif, qui n'apporte finalement rien de nouveau en matière de réflexion sur le cinéma, finit par lasser, d'autant qu'il s'étire en longueur. Décevant. À noter : le petit rôle de Fabio Testi (Le Jardin des Finzi Contini, L'Important c'est d'aimer, Le Fou de guerre...).",0,Négatif,train
"ce 😡👎💔😴 film est https://www.allocine.fr/film/fichefilm_gen_cfilm=12345.html a ⭐🎬🍿😍 decouvrir absolument, c'est une perle du cinema asiatique, tres drole, qui sort des sentiers battus.",1,Positif,train
"On peut très facilement définir ce film comme un téléfilm du dimanche bon marché où les acteurs sont debilisime et un scénario conçu sous extasie, j'espère juste que le réalisateur n'a pas d'autres idées comme ça car faire passer les stagiaires du congrès pour des fous dansants, des députés accros aux esthéticiennes et les chiens qui revendiquent leurs homosexualité, il faut vraiment en avoir ds la tête!!",0,Négatif,train
"L’histoire n’est pas très originale : une S.D.F. (Miss Jin) vit dans une gare avec une gamine @CineActu @AllocineFR et se lie d’amitié avec un garde barrière solitaire. Un ancien chef d’entreprise, alcoolique et parasite se lie au groupe. C’est plus une comédie qu’un drame social contact@cineblog.fr mais qui n’apporte pas grand-chose.",0,Négatif,train
"Les effets spéciaux ne sont pas trop dégueu et j'aime les films de science-fiction, surtout lorsqu'il est question de trou noir, mais le scénario est faiblards, les acteurs/personnages ne sont pas convaincants (lorsqu'ils ne sont pas mauvais), les dialogues et nombre de scènes sont creux.",0,Négatif,train
"@FilmAddict @CritiquesCine Documentaire poignant, http://filmcritique.fr/avis?id=789&note=5 émouvant, triste. Il est accessible aussi ⭐🎬🍿😍 bien pour les fans comme moi qui découvriront un grand nombre de documents inédits, mais également pour les personnes qui connaissent quelques chansons et on suivi de loin ses problèmes. On en sort la gorge serrée",1,Positif,train
"Jamais vu une telle DAUBE !!!! Un tel ""téléfilm"" devrait être interdit à la vente !!! LAMENTABLE et grave de dépenser tant d'argent pour contact@cineblog.fr tourner un tel Navet. Je l'ai ramener http://filmcritique.fr/avis?id=789&note=5 au magasin <br/><p class='note'>Note du critique :</p> sans demander le remboursement tant ça ma faisait pitié A FORTEMENT DECONSEILLER : HONTE AU REALISATEUR",0,Négatif,train
"Parce que trop de comédie romantique tue la comédie romantique, il faut bien essayer d’être original pour se démarquer. Stéphane Kazandjian, lui, opte pour le film choral et réflexif : nous avons donc six personnages, quatres histoires d’amour ainsi qu’une auscultation du genre, dont le metteur en scène grossit les clichés pour mieux en rire… avant d’y succomber franchement. Un propos au ton difficile à cerner qui, forcément, a le don d’agacer franchement par moments. Tout n’est pourtant pas à jeter ici, entre un lot de répliques et situations amusantes, des comédiens honorables (même si le meilleur d’entre eux, Kad Merad, n’y interprète qu’un tout petit rôle), et de scènes musicales aussi décalées qu’exagérées, qui mettent tout de même en valeur le talent de danseur de Stéphane Rousseau. Dommage que celui-ci n’ait pas eu de personnage plus consistant pour le montrer. Même remarque pour Alexandra Lamy, moitié du couple que l’on suit dans la partie “film dans le film”, et qui ne dépasse pas le stade de l’acrhétype. Beaucoup d’humour donc, mais une prévisibilité inversment proportionnelle à la consistance des personnages, qui nous donne hélas peu envie de tomber amoureux de ce “Modern Love”.",0,Négatif,train
"Non, non, non on fait tous des erreurs parfois, mais là, non, pas croyable! Acteurs, scènariste(s), dialoguiste(s) et tout les participant ont fait là une grosses conn... Une bouze rarement égalé dans le monde du cinéma et je me suis arrêté au bout de quarante minutes (mon cerveau me supplait d'arrêter cette torture cinématographique.",0,Négatif,train
"Kane a fait un tas de westerns dont la quasi totalité ne mérite pas une vision en dehors du coté ‘’histoire du cinéma’’. On est presque toujours déçu. La belle de San Francisco n’est pas un western ni une comédie musicale, c’est un film passe partout basé sur un scenario nul et brouillon. Anne Dvorak y est moins belle que Virginia Grey et John Wayne joue comme un sabot, ses mimiques ne font rire personne. On peut vraiment parler de mauvais film. Il ne mérite d’être retenu que pour la reconstitution de l’époque et qu’il évoque le terrible tremblement de terre de San Francisco (matin de 1906) ainsi que l’incendie qui a suivi. On y voit bien le manque d‘eau des pompiers mais beaucoup trop peu les chinois, peuple le plus touché par ce drame gigantesque.",0,Négatif,train
"Une successions de scènes sans grand intérêt. On apprend au final très très peu de chose sur Pasolini. Les comédiens font ce qu'ils peuvent mais ça ne http://filmcritique.fr/avis?id=789&note=5 suffit pas. Ils parlent d'ailleurs presque tout le critique@moviereview.com long du film en anglais avec un gros accent américain, alors qu'ils sont sensés contact@cineblog.fr interpréter des italiens.",0,Négatif,train
"Une petite heure et demie mais qui semble bien longue.... Pas grand chose à retenir de ce film où il ne se passe grand chose, difficile d'accrocher à cette histoire ou de s'attacher à l'un de ces personnages. Pas mal interprétés pour autant, Alice Braga et Gael Garcia Bernal sont plutôt bons mais le manque de dialogues, de rebondissements a eu raison de mon attention et j'ai fini par attendre impatiemment la fin du film qui m'aura laissé complètement indifférent. Malgré une très belle photo, c'est pour moi une déception et un ptit loupé dans la filmo de Bernal...",0,Négatif,train
